County Name,State,Cases,Deaths,CasesPerCap,DeathsPerCap,TotalPop,IncomePerCap,Poverty,Unemployment
gunnison county,colorado,3432,14,0.21165587419056428,0.0008633980881899476,16215,27669,14.1,7.3
hinsdale county,colorado,132,0,0.16097560975609757,0.0,820,29574,12.0,4.1
huerfano county,colorado,1804,42,0.27762388427208373,0.006463527239150508,6498,25547,14.8,7.9
jackson county,colorado,169,0,0.12317784256559766,0.0,1372,24299,12.8,1.8
jefferson county,colorado,162971,1611,0.2889408168728913,0.002856236115518883,564029,40187,7.8,4.3
kiowa county,colorado,337,6,0.2463450292397661,0.0043859649122807015,1368,23621,10.6,3.1
kit carson county,colorado,1884,33,0.2401223553403008,0.004205964822839663,7846,26125,11.5,5.3
lake county,colorado,1854,2,0.24782783050394333,0.0002673439379762064,7481,28492,12.8,5.7
la plata county,colorado,16080,108,0.29521379133084874,0.0019827791955057007,54469,34501,9.6,4.4
larimer county,colorado,111398,633,0.33657425311805084,0.0019125253794837088,330976,34087,12.4,5.3
las animas county,colorado,4511,55,0.31877605822910043,0.0038866511200621864,14151,24268,17.0,7.8
lincoln county,colorado,2211,9,0.40054347826086956,0.0016304347826086956,5520,14765,14.0,3.7
logan county,colorado,8698,122,0.397441169750971,0.005574594471098926,21885,24595,16.8,6.2
mesa county,colorado,52710,658,0.35423863223968066,0.004422102447613543,148798,27612,16.0,8.0
mineral county,colorado,241,2,0.28896882494004794,0.002398081534772182,834,33018,12.0,1.6
moffat county,colorado,3799,56,0.29097732843137253,0.00428921568627451,13056,27331,10.1,3.6
montezuma county,colorado,7843,98,0.30434613892122625,0.003802871556072953,25770,24440,16.8,5.9
montrose county,colorado,11406,191,0.2788207685538281,0.00466901339591278,40908,24308,17.8,8.0
morgan county,colorado,7099,154,0.2524268392419016,0.005475944956085766,28123,24077,9.3,4.5
otero county,colorado,5444,137,0.29708049113233287,0.0074761255115961805,18325,20358,22.9,9.3
ouray county,colorado,892,6,0.1917042768106598,0.0012894906511927789,4653,35544,10.4,5.9
park county,colorado,3536,24,0.20923076923076922,0.0014201183431952662,16900,34377,6.6,4.6
phillips county,colorado,1137,21,0.2627686618904553,0.0048532470533857175,4327,27790,8.1,2.0
pitkin county,colorado,6693,7,0.37713416352059503,0.0003944328618921508,17747,65800,7.1,4.3
prowers county,colorado,3308,53,0.27375041377027476,0.0043859649122807015,12084,22033,18.3,8.4
pueblo county,colorado,63202,901,0.3868689094559522,0.005515155966896822,163368,23110,19.8,9.3
rio blanco county,colorado,2257,16,0.3442122922068019,0.002440140308067714,6557,28185,11.8,6.3
rio grande county,colorado,3797,48,0.3321959755030621,0.004199475065616798,11430,22412,18.1,8.8
routt county,colorado,7982,34,0.32768176033498914,0.0013957880044336796,24359,38111,10.7,3.1
saguache county,colorado,1206,12,0.19028084569264753,0.0018933417481855476,6338,22267,21.0,7.7
san juan county,colorado,209,0,0.36731107205623903,0.0,569,28889,3.3,9.8
san miguel county,colorado,2333,8,0.298949256791389,0.0010251153254741158,7804,42015,10.5,3.8
